Log_NR,STANDORT,STANDORT_NEU,Code_grafana,NORD_CHTOPO,OST_CHTOPO,LV_03_E,LV_03_N,HuM,Art,ZUSTAENDIG,BEFESTIGUNG,Doppel_23,Panel_befestigt,Luftung_30s
163,Betlehem_Balkon_(1-5),Betlehem_Balkon_(1-5),diverse,46.952436,7.390238,,,,Projekt_BOUM,Julie_Demmer_(IPS),tbd,nein,ja,ja
164,Kappelenring,Kappelenring,8a6abb12f173,,,2595271.4,1201823.3,,,,,,,
165,Muri Zentrum (Tavelweg),Muri Zentrum (Tavelweg),d0ad5f9f1dc1,,,2603634.4,1197704.8,,,,,,,
166,Ittigen Worblaufen,Ittigen Worblaufen,cd049b7c65a3,,,2601908.6,1202829.6,,,,,,,
167,Papiermühle Ittigen,Papiermühle Ittigen,8663430b836d,,,2602924.8,1202623.5,,,,,,,
168,Stettlen,Stettlen,27aee99183c0,,,2606569.8,1200823.7,,,,,,,
169,Gümligen (Alte Dorfstrasse),Gümligen (Alte Dorfstrasse),50f1bc295fb2,,,2604696,1198210,,,,,,,
170,Muri Steinhübeliweg,Muri Steinhübeliweg,7bf385af020f,,,2604552.3,1197243.3,,,,,,,
171,Kehrsatz Zentrum,Kehrsatz Zentrum,f1ba8496cc4d,,,2602535.7,1195325.8,,,,,,,
172,Köniz Schliern,Köniz Schliern,d52bb663bb0e,,,2598204.9,1195343.9,,,,,,,
173,Belp Zentrum,Belp Zentrum,bb1ce301b97f,,,2604540.6,1193531.1,,,,,,,
174,Gümligen Dentenberg,Gümligen Dentenberg,e53b7b26a6f3,,,2605256.9,1198285.1,,,,,,,
175,Liebefeld Turnierstrassr,Liebefeld Turnierstrassr,528e527ab13a,,,2598078,1198545.2,,,,,,,
176,Köniz Oberwangen,Köniz Oberwangen,537a0d0d0e83,,,2594051.4,1196206.8,,,,,,,
177,Bern Ostring (Freudenbergplatz),Bern Ostring (Freudenbergplatz),285ab7dca1a6,,,2602547.9,1199356.9,,,,,,,
